================================================================================
DATASET: academic_company_ref
================================================================================

                   column  dtype   n_rows  n_missing  missing_frac         mean          std
          updated_dt date32[day][pyarrow] 618161168          0      0.000000          NaN          NaN
      numconnections                int32 618161168   88836929      0.143712 1.126883e+02 1.674544e+02
     profile_summary               string 618161168  174366344      0.282073          NaN          NaN

================================================================================
DATASET: academic_individual_user_education
================================================================================

                     column                dtype    n_rows  n_missing  missing_frac         mean          std
                    user_id                int64 635641154          0      0.000000 7.460724e+08 6.834120e+08
             university_raw               string 635641154     202512      0.000319          NaN          NaN
            university_name               string 635641154  164208580      0.258335          NaN          NaN
                       rsid                int32 635641154  163236053      0.256805 1.269479e+05 7.918001e+04
           education_number                int32 635641154          0      0.000000 1.928239e+00 2.240279e+00
                  startdate date32[day][pyarrow] 635641154  102386150      0.161075          NaN          NaN
                    enddate date32[day][pyarrow] 635641154  117446272      0.184768          NaN          NaN
                     degree               string 635641154          0      0.000000          NaN          NaN
                      field               string 635641154          0      0.000000          NaN          NaN
                 degree_raw               string 635641154  119831939      0.188521          NaN          NaN
                  field_raw               string 635641154  167681819      0.263800          NaN          NaN
         university_country               string 635641154  178278023      0.280470          NaN          NaN
        university_location               string 635641154  230819964      0.363129          NaN          NaN
ultimate_parent_school_name               string 635641154  164208580      0.258335          NaN          NaN
       ultimate_parent_rsid                int32 635641154  164208580      0.258335 1.271071e+05 7.814954e+04
                description               string 635641154  531816647      0.836662          NaN          NaN

================================================================================
DATASET: academic_individual_user_skill
================================================================================

      column  dtype     n_rows  n_missing  missing_frac         mean          std
     user_id  int64 7152322703          0           0.0 6.137863e+08 5.858938e+08
   skill_raw string 7152322703          0           0.0          NaN          NaN
skill_source string 7152322703          0           0.0          NaN          NaN
skill_mapped string 7152322703          0           0.0          NaN          NaN
   skill_k25 string 7152322703          0           0.0          NaN          NaN
   skill_k50 string 7152322703          0           0.0          NaN          NaN
   skill_k75 string 7152322703          0           0.0          NaN          NaN

================================================================================
DATASET: revelio_patents_assignee_matches
================================================================================

                                    column                      dtype  n_rows  n_missing  missing_frac         mean          std
                                 patent_id                     string 6602862          0      0.000000          NaN          NaN
                               patent_date                     string 6602862          0      0.000000          NaN          NaN
                              patent_title                     string 6602862          0      0.000000          NaN          NaN
                            application_id                     string 6602862       1510      0.000229          NaN          NaN
                               filing_date                     string 6602862       1510      0.000229          NaN          NaN
                         assignee_sequence                     string 6602862          0      0.000000          NaN          NaN
                             assignee_type                     string 6602862          0      0.000000          NaN          NaN
        raw_assignee_individual_name_first                     string 6602862    6602839      0.999997          NaN          NaN
         raw_assignee_individual_name_last                     string 6602862    6602839      0.999997          NaN          NaN
                 raw_assignee_organization                     string 6602862          0      0.000000          NaN          NaN
                            pv_assignee_id                     string 6602862          0      0.000000          NaN          NaN
pv_disambig_assignee_individual_name_first                     string 6602862    6532044      0.989275          NaN          NaN
 pv_disambig_assignee_individual_name_last                     string 6602862    6532044      0.989275          NaN          NaN
         pv_disambig_assignee_organization                     string 6602862          0      0.000000          NaN          NaN
                                      rcid decimal128(38, 5)[pyarrow] 6602862          0      0.000000 6.640311e+06 1.429196e+07
                              company_name                     string 6602862          0      0.000000          NaN          NaN

================================================================================
DATASET: revelio_patents_inventor_matches
================================================================================

                                    column                dtype  n_rows  n_missing  missing_frac         mean          std
                                 patent_id               string 7149690          0      0.000000          NaN          NaN
                               patent_date date32[day][pyarrow] 7149690          0      0.000000          NaN          NaN
                              patent_title               string 7149690          0      0.000000          NaN          NaN
                            application_id               string 7149690        625      0.000087          NaN          NaN
                               filing_date date32[day][pyarrow] 7149690        625      0.000087          NaN          NaN
                         inventor_sequence               string 7149690          0      0.000000          NaN          NaN
                   raw_inventor_name_first               string 7149690          0      0.000000          NaN          NaN
                    raw_inventor_name_last               string 7149690          0      0.000000          NaN          NaN
                            pv_inventor_id               string 7149690          0      0.000000          NaN          NaN
pv_disambig_inventor_individual_name_first               string 7149690          0      0.000000          NaN          NaN
 pv_disambig_inventor_individual_name_last               string 7149690          0      0.000000          NaN          NaN
                 inventor_fullname_cleaned               string 7149690          0      0.000000          NaN          NaN
                inventor_firstname_cleaned               string 7149690          0      0.000000          NaN          NaN
                 inventor_lastname_cleaned               string 7149690          0      0.000000          NaN          NaN
                                   user_id                int64 7149690          0      0.000000 4.513265e+08 4.104148e+08
                             user_fullname               string 7149690        590      0.000083          NaN          NaN
                            user_firstname               string 7149690        925      0.000129          NaN          NaN
                             user_lastname               string 7149690        608      0.000085          NaN          NaN
                     user_fullname_cleaned               string 7149690          0      0.000000          NaN          NaN
                    user_firstname_cleaned               string 7149690        952      0.000133          NaN          NaN
                     user_lastname_cleaned               string 7149690        709      0.000099          NaN          NaN
                user_linkedin_patent_count                int32 7149690          0      0.000000 3.337522e+00 1.328476e+01
                 user_profile_linkedin_url               string 7149690        590      0.000083          NaN          NaN
                 similarity_score_fullname              float64 7149690          0      0.000000 9.823774e-01 2.578774e-02
                similarity_score_firstname              float64 7149690        952      0.000133 9.751055e-01 3.641021e-02
                 similarity_score_lastname              float64 7149690        709      0.000099 9.984550e-01 1.949041e-02
                     linkedin_patent_match                int32 7149690          0      0.000000 5.120795e-02 2.204217e-01
                                rcid_match                int32 7149690          0      0.000000 8.121948e-01 3.905566e-01
                           rcid_date_match                int32 7149690          0      0.000000 5.524128e-01 4.972453e-01
                        ult_par_rcid_match                int32 7149690          0      0.000000 9.866924e-01 1.145883e-01
                   ult_par_rcid_date_match                int32 7149690          0      0.000000 6.519134e-01 4.763637e-01

